epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.601,2.96664,3.64303,4.25694,0.00602,0.6391,0.02703,0.00766,3.1875,3.48198,4.15868,0.00012,0.00012,0.00012
2,275.387,3.09327,3.54065,4.24436,0.00599,0.63158,0.03481,0.00956,3.18576,3.48214,4.15751,0.00023426,0.00023426,0.00023426
3,397.102,3.0218,3.4696,4.15857,0.00598,0.63158,0.02412,0.00663,3.18349,3.48154,4.15588,0.0003208,0.0003208,0.0003208
4,520.961,2.96261,3.42543,4.15832,0.00595,0.63158,0.02193,0.00682,3.18127,3.47701,4.15379,0.00037962,0.00037962,0.00037962
5,640.533,2.97446,3.33728,4.10784,0.00589,0.6391,0.03325,0.00949,3.16844,3.47075,4.14861,0.00041072,0.00041072,0.00041072
6,766.364,2.88784,3.33398,4.05246,0.00581,0.63158,0.03405,0.00967,3.16485,3.46664,4.1488,0.0004141,0.0004141,0.0004141
7,887.621,2.8746,3.39671,3.9652,0.00587,0.6391,0.02815,0.0086,3.16644,3.46402,4.15384,0.00038976,0.00038976,0.00038976
8,1005.76,2.79693,3.28052,3.9129,0.00587,0.6391,0.02812,0.00853,3.16994,3.46267,4.16055,0.0003377,0.0003377,0.0003377
9,1123.92,2.79616,3.21497,3.86777,0.00584,0.6391,0.02761,0.00862,3.16706,3.46748,4.16879,0.00025792,0.00025792,0.00025792
10,1244.39,2.8282,3.26348,3.87993,0.00604,0.66165,0.02884,0.00928,3.16152,3.4612,4.16615,0.00015042,0.00015042,0.00015042
